,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Scores,RFM_Scores_Levels
17377.0,23.0,20,4100.92,3,4,4,11.0,Level 2-Loyal Customers
16552.0,242.0,2,379.73,1,2,2,5.0,0.0
17181.0,57.0,2,239.92000000000002,2,2,1,5.0,0.0
17951.0,39.0,3,1008.5400000000001,3,3,3,9.0,Level 1-Best Customers
14729.0,373.0,1,313.49,1,1,2,4.0,0.0
12748.0,0.0,210,33719.73,4,4,4,12.0,Level 5-Lost Customers
15012.0,53.0,2,423.04,2,2,2,6.0,0.0
12868.0,185.0,6,1607.0600000000002,1,4,4,9.0,Level 1-Best Customers
17572.0,71.0,4,226.75000000000003,2,3,1,6.0,0.0
14078.0,101.0,6,1049.37,2,4,3,9.0,Level 1-Best Customers
14001.0,45.0,3,2043.0800000000002,3,3,4,10.0,Level 6-Lost Cheap Customers
15525.0,2.0,3,825.92,4,3,3,10.0,Level 6-Lost Cheap Customers
14237.0,373.0,1,161.0,1,1,1,3.0,0.0
17905.0,71.0,4,800.24,2,3,3,8.0,Level 3-Big Spenders
15485.0,30.0,3,2575.0,3,3,4,10.0,Level 6-Lost Cheap Customers
16955.0,184.0,4,518.67,1,3,2,6.0,0.0
15350.0,373.0,1,115.65,1,1,1,3.0,0.0
15605.0,36.0,5,1198.23,3,3,3,9.0,Level 1-Best Customers
18144.0,7.0,12,2888.75,4,4,4,12.0,Level 5-Lost Customers
15922.0,373.0,1,369.5,1,1,2,4.0,0.0
14594.0,7.0,2,379.83,4,2,2,8.0,Level 3-Big Spenders
15165.0,373.0,1,487.75,1,1,2,4.0,0.0
16456.0,99.0,5,2158.37,2,3,4,9.0,Level 1-Best Customers
17346.0,3.0,15,2676.56,4,4,4,12.0,Level 5-Lost Customers
17643.0,373.0,1,101.55,1,1,1,3.0,0.0
17841.0,1.0,124,40991.57,4,4,4,12.0,Level 5-Lost Customers
17873.0,80.0,5,1859.16,2,3,4,9.0,Level 1-Best Customers
13093.0,275.0,8,7832.47,1,4,4,9.0,Level 1-Best Customers
12921.0,9.0,37,16587.09,4,4,4,12.0,Level 5-Lost Customers
13468.0,1.0,37,5704.97,4,4,4,12.0,Level 5-Lost Customers
17760.0,21.0,2,287.59,3,2,1,6.0,0.0
16928.0,80.0,17,2847.6,2,4,4,10.0,Level 6-Lost Cheap Customers
16048.0,373.0,2,256.44,1,2,1,4.0,0.0
16274.0,373.0,1,357.95,1,1,2,4.0,0.0
14496.0,311.0,2,538.8100000000001,1,2,2,5.0,0.0
14696.0,4.0,7,2078.95,4,4,4,12.0,Level 5-Lost Customers
16539.0,2.0,4,1388.81,4,3,3,10.0,Level 6-Lost Cheap Customers
17025.0,60.0,3,357.77,2,3,2,7.0,Level 4-Almost Lost
13777.0,0.0,33,25977.16,4,4,4,12.0,Level 5-Lost Customers
17690.0,30.0,15,4757.95,3,4,4,11.0,Level 2-Loyal Customers
12947.0,143.0,6,1603.99,1,4,4,9.0,Level 1-Best Customers
17460.0,94.0,6,622.4300000000001,2,4,2,8.0,Level 3-Big Spenders
18229.0,11.0,20,7276.900000000001,4,4,4,12.0,Level 5-Lost Customers
14142.0,373.0,1,311.81,1,1,2,4.0,0.0
17069.0,28.0,9,2709.7000000000003,3,4,4,11.0,Level 2-Loyal Customers
13065.0,373.0,1,205.86,1,1,1,3.0,0.0
14606.0,1.0,93,12156.65,4,4,4,12.0,Level 5-Lost Customers
16835.0,128.0,2,180.85,2,2,1,5.0,0.0
15235.0,217.0,12,2247.51,1,4,4,9.0,Level 1-Best Customers
13576.0,10.0,18,6717.34,4,4,4,12.0,Level 5-Lost Customers
18011.0,373.0,1,102.78999999999999,1,1,1,3.0,0.0
13090.0,8.0,14,8910.82,4,4,4,12.0,Level 5-Lost Customers
15694.0,0.0,14,6479.4,4,4,4,12.0,Level 5-Lost Customers
14741.0,11.0,6,1400.34,4,4,3,11.0,Level 2-Loyal Customers
13715.0,281.0,5,1079.34,1,3,3,7.0,Level 4-Almost Lost
17732.0,372.0,1,303.97,1,1,2,4.0,0.0
12855.0,372.0,1,38.1,1,1,1,3.0,0.0
15752.0,39.0,7,2637.38,3,4,4,11.0,Level 2-Loyal Customers
17855.0,372.0,1,208.97,1,1,1,3.0,0.0
14047.0,8.0,5,1308.6100000000001,4,3,3,10.0,Level 6-Lost Cheap Customers
17925.0,372.0,1,244.08,1,1,1,3.0,0.0
13941.0,21.0,5,5112.96,3,3,4,10.0,Level 6-Lost Cheap Customers
17017.0,2.0,20,8694.26,4,4,4,12.0,Level 5-Lost Customers
14135.0,1.0,15,4690.31,4,4,4,12.0,Level 5-Lost Customers
13108.0,372.0,1,350.06,1,1,2,4.0,0.0
15601.0,11.0,14,6776.56,4,4,4,12.0,Level 5-Lost Customers
13418.0,11.0,18,6127.43,4,4,4,12.0,Level 5-Lost Customers
15658.0,190.0,5,1024.1000000000001,1,3,3,7.0,Level 4-Almost Lost
14388.0,10.0,8,3212.84,4,4,4,12.0,Level 5-Lost Customers
14901.0,11.0,9,1421.29,4,4,3,11.0,Level 2-Loyal Customers
18041.0,11.0,21,4183.39,4,4,4,12.0,Level 5-Lost Customers
15955.0,24.0,14,4416.26,3,4,4,11.0,Level 2-Loyal Customers
15070.0,372.0,1,106.2,1,1,1,3.0,0.0
16244.0,211.0,2,1522.75,1,2,3,6.0,0.0
15111.0,29.0,3,1567.48,3,3,3,9.0,Level 1-Best Customers
14390.0,10.0,9,4652.82,4,4,4,12.0,Level 5-Lost Customers
16546.0,290.0,2,787.15,1,2,3,6.0,0.0
15260.0,100.0,7,1810.77,2,4,4,10.0,Level 6-Lost Cheap Customers
13305.0,4.0,10,2000.86,4,4,4,12.0,Level 5-Lost Customers
14491.0,175.0,2,340.93,1,2,2,5.0,0.0
14060.0,4.0,19,6140.42,4,4,4,12.0,Level 5-Lost Customers
15923.0,372.0,1,127.08,1,1,1,3.0,0.0
16752.0,372.0,1,207.5,1,1,1,3.0,0.0
17287.0,26.0,7,1064.11,3,4,3,10.0,Level 6-Lost Cheap Customers
15363.0,372.0,1,326.0,1,1,2,4.0,0.0
12915.0,148.0,2,363.65,1,2,2,5.0,0.0
15544.0,9.0,9,3546.71,4,4,4,12.0,Level 5-Lost Customers
15738.0,18.0,16,4812.42,3,4,4,11.0,Level 2-Loyal Customers
17381.0,8.0,29,20275.61,4,4,4,12.0,Level 5-Lost Customers
15827.0,73.0,14,1836.0900000000001,2,4,4,10.0,Level 6-Lost Cheap Customers
14180.0,10.0,25,4748.52,4,4,4,12.0,Level 5-Lost Customers
13117.0,21.0,8,984.91,3,4,3,10.0,Level 6-Lost Cheap Customers
16916.0,23.0,2,576.26,3,2,2,7.0,Level 4-Almost Lost
17964.0,31.0,2,471.7,3,2,2,7.0,Level 4-Almost Lost
14466.0,29.0,7,2272.4,3,4,4,11.0,Level 2-Loyal Customers
17235.0,25.0,2,550.06,3,2,2,7.0,Level 4-Almost Lost
16510.0,372.0,1,248.1,1,1,1,3.0,0.0
17802.0,82.0,3,1285.04,2,3,3,8.0,Level 3-Big Spenders
15107.0,311.0,6,319.5,1,4,2,7.0,Level 4-Almost Lost
17976.0,372.0,1,353.19,1,1,2,4.0,0.0
14449.0,18.0,4,907.1,3,3,3,9.0,Level 1-Best Customers
16781.0,372.0,1,311.25,1,1,2,4.0,0.0
13491.0,51.0,10,1215.82,2,4,3,9.0,Level 1-Best Customers
16186.0,22.0,12,4006.94,3,4,4,11.0,Level 2-Loyal Customers
17685.0,16.0,7,3191.53,4,4,4,12.0,Level 5-Lost Customers
17581.0,0.0,25,11045.04,4,4,4,12.0,Level 5-Lost Customers
15732.0,212.0,2,294.12,1,2,1,4.0,0.0
13138.0,22.0,6,962.39,3,4,3,10.0,Level 6-Lost Cheap Customers
15823.0,372.0,1,15.0,1,1,1,3.0,0.0
17567.0,7.0,8,4331.48,4,4,4,12.0,Level 5-Lost Customers
15061.0,3.0,48,54534.14,4,4,4,12.0,Level 5-Lost Customers
16203.0,58.0,4,592.9,2,3,2,7.0,Level 4-Almost Lost
15640.0,4.0,15,12515.66,4,4,4,12.0,Level 5-Lost Customers
15574.0,177.0,4,702.25,1,3,3,7.0,Level 4-Almost Lost
16770.0,57.0,5,770.1,2,3,3,8.0,Level 3-Big Spenders
17838.0,26.0,5,2779.3,3,3,4,10.0,Level 6-Lost Cheap Customers
17228.0,15.0,8,1906.09,4,4,4,12.0,Level 5-Lost Customers
14829.0,29.0,4,697.55,3,3,3,9.0,Level 1-Best Customers
17412.0,2.0,7,1258.06,4,4,3,11.0,Level 2-Loyal Customers
14031.0,7.0,19,17286.86,4,4,4,12.0,Level 5-Lost Customers
14775.0,58.0,3,1011.9,2,3,3,8.0,Level 3-Big Spenders
12971.0,3.0,86,11189.91,4,4,4,12.0,Level 5-Lost Customers
17659.0,17.0,12,2999.46,4,4,4,12.0,Level 5-Lost Customers
15299.0,67.0,7,4507.01,2,4,4,10.0,Level 6-Lost Cheap Customers
15646.0,157.0,3,447.64000000000004,1,3,2,6.0,0.0
13402.0,127.0,2,621.23,2,2,2,6.0,0.0
17757.0,1.0,30,5605.29,4,4,4,12.0,Level 5-Lost Customers
13011.0,372.0,1,50.550000000000004,1,1,1,3.0,0.0
13798.0,1.0,57,37153.85,4,4,4,12.0,Level 5-Lost Customers
16754.0,372.0,1,2002.4,1,1,4,6.0,0.0
16634.0,222.0,2,217.9,1,2,1,4.0,0.0
18239.0,218.0,5,1561.6100000000001,1,3,3,7.0,Level 4-Almost Lost
14576.0,372.0,1,35.400000000000006,1,1,1,3.0,0.0
13145.0,39.0,4,618.52,3,3,2,8.0,Level 3-Big Spenders
18168.0,176.0,6,1169.94,1,4,3,8.0,Level 3-Big Spenders
14395.0,2.0,9,3507.71,4,4,4,12.0,Level 5-Lost Customers
14865.0,7.0,2,52.2,4,2,1,7.0,Level 4-Almost Lost
15093.0,18.0,6,4597.02,3,4,4,11.0,Level 2-Loyal Customers
16150.0,42.0,5,2053.02,3,3,4,10.0,Level 6-Lost Cheap Customers
17552.0,60.0,4,930.41,2,3,3,8.0,Level 3-Big Spenders
14236.0,80.0,2,490.86,2,2,2,6.0,0.0
17961.0,21.0,39,1296.44,3,4,3,10.0,Level 6-Lost Cheap Customers
14573.0,179.0,9,1653.42,1,4,4,9.0,Level 1-Best Customers
17135.0,16.0,7,1139.73,4,4,3,11.0,Level 2-Loyal Customers
17396.0,39.0,8,7330.8,3,4,4,11.0,Level 2-Loyal Customers
12967.0,358.0,2,1660.9,1,2,4,7.0,Level 4-Almost Lost
13370.0,371.0,1,754.87,1,1,3,5.0,0.0
16883.0,187.0,2,276.73,1,2,1,4.0,0.0
12841.0,4.0,25,4022.35,4,4,4,12.0,Level 5-Lost Customers
16905.0,5.0,7,3102.43,4,4,4,12.0,Level 5-Lost Customers
17967.0,371.0,1,123.07,1,1,1,3.0,0.0
16891.0,1.0,5,809.7,4,3,3,10.0,Level 6-Lost Cheap Customers
14589.0,371.0,1,39.75,1,1,1,3.0,0.0
14680.0,25.0,16,28754.11,3,4,4,11.0,Level 2-Loyal Customers
17884.0,3.0,4,717.45,4,3,3,10.0,Level 6-Lost Cheap Customers
14083.0,4.0,9,1018.43,4,4,3,11.0,Level 2-Loyal Customers
13013.0,1.0,13,4810.9400000000005,4,4,4,12.0,Level 5-Lost Customers
14210.0,105.0,6,1905.8400000000001,2,4,4,10.0,Level 6-Lost Cheap Customers
16477.0,63.0,7,2494.46,2,4,4,10.0,Level 6-Lost Cheap Customers
16013.0,3.0,47,37130.6,4,4,4,12.0,Level 5-Lost Customers
17949.0,1.0,45,58510.48,4,4,4,12.0,Level 5-Lost Customers
16926.0,371.0,1,230.25,1,1,1,3.0,0.0
17787.0,152.0,4,1865.19,1,3,4,8.0,Level 3-Big Spenders
14723.0,10.0,6,1158.3,4,4,3,11.0,Level 2-Loyal Customers
17954.0,5.0,12,2332.72,4,4,4,12.0,Level 5-Lost Customers
17819.0,71.0,7,3704.87,2,4,4,10.0,Level 6-Lost Cheap Customers
15373.0,8.0,12,2415.91,4,4,4,12.0,Level 5-Lost Customers
16140.0,65.0,2,725.18,2,2,3,7.0,Level 4-Almost Lost
17198.0,23.0,3,692.22,3,3,3,9.0,Level 1-Best Customers
17238.0,2.0,17,3744.65,4,4,4,12.0,Level 5-Lost Customers
15769.0,7.0,26,56252.72,4,4,4,12.0,Level 5-Lost Customers
14396.0,65.0,2,487.99,2,2,2,6.0,0.0
14898.0,23.0,6,1303.52,3,4,3,10.0,Level 6-Lost Cheap Customers
16725.0,302.0,7,781.02,1,4,3,8.0,Level 3-Big Spenders
16455.0,63.0,7,1841.18,2,4,4,10.0,Level 6-Lost Cheap Customers
13081.0,11.0,11,28337.38,4,4,4,12.0,Level 5-Lost Customers
15545.0,54.0,2,292.71999999999997,2,2,1,5.0,0.0
17243.0,1.0,26,8676.85,4,4,4,12.0,Level 5-Lost Customers
15465.0,19.0,18,7354.62,3,4,4,11.0,Level 2-Loyal Customers
13089.0,2.0,97,58825.83,4,4,4,12.0,Level 5-Lost Customers
16033.0,5.0,20,8816.4,4,4,4,12.0,Level 5-Lost Customers
13838.0,5.0,4,691.73,4,3,3,10.0,Level 6-Lost Cheap Customers
18055.0,7.0,10,6784.1900000000005,4,4,4,12.0,Level 5-Lost Customers
15038.0,58.0,6,705.49,2,4,3,9.0,Level 1-Best Customers
18109.0,1.0,26,8052.97,4,4,4,12.0,Level 5-Lost Customers
13069.0,0.0,24,4436.12,4,4,4,12.0,Level 5-Lost Customers
16241.0,9.0,13,2607.87,4,4,4,12.0,Level 5-Lost Customers
14800.0,47.0,12,4339.74,3,4,4,11.0,Level 2-Loyal Customers
15708.0,40.0,7,3364.2400000000002,3,4,4,11.0,Level 2-Loyal Customers
16839.0,8.0,34,16594.35,4,4,4,12.0,Level 5-Lost Customers
16168.0,10.0,27,3787.6,4,4,4,12.0,Level 5-Lost Customers
16931.0,5.0,21,4604.22,4,4,4,12.0,Level 5-Lost Customers
16814.0,14.0,21,6509.1,4,4,4,12.0,Level 5-Lost Customers
15351.0,12.0,7,1960.1100000000001,4,4,4,12.0,Level 5-Lost Customers
13269.0,1.0,15,5346.2300000000005,4,4,4,12.0,Level 5-Lost Customers
14813.0,369.0,2,155.43,1,2,1,4.0,0.0
17062.0,313.0,4,538.37,1,3,2,6.0,0.0
14810.0,40.0,11,2087.88,3,4,4,11.0,Level 2-Loyal Customers
16353.0,3.0,23,6675.71,4,4,4,12.0,Level 5-Lost Customers
18118.0,10.0,26,5653.82,4,4,4,12.0,Level 5-Lost Customers
13831.0,16.0,6,2202.99,4,4,4,12.0,Level 5-Lost Customers
13506.0,316.0,2,458.52,1,2,2,5.0,0.0
17796.0,40.0,4,697.9,3,3,3,9.0,Level 1-Best Customers
15716.0,145.0,4,1118.81,1,3,3,7.0,Level 4-Almost Lost
18156.0,12.0,2,734.94,4,2,3,9.0,Level 1-Best Customers
16983.0,12.0,7,1931.25,4,4,4,12.0,Level 5-Lost Customers
17059.0,29.0,5,3095.04,3,3,4,10.0,Level 6-Lost Cheap Customers
16327.0,14.0,6,3844.22,4,4,4,12.0,Level 5-Lost Customers
17211.0,26.0,8,2317.2200000000003,3,4,4,11.0,Level 2-Loyal Customers
17026.0,185.0,2,154.82999999999998,1,2,1,4.0,0.0
15570.0,7.0,12,4165.52,4,4,4,12.0,Level 5-Lost Customers
15880.0,369.0,1,343.28000000000003,1,1,2,4.0,0.0
16718.0,369.0,1,623.75,1,1,2,4.0,0.0
15808.0,306.0,4,3734.9700000000003,1,3,4,8.0,Level 3-Big Spenders
17858.0,5.0,12,5155.66,4,4,4,12.0,Level 5-Lost Customers
16393.0,2.0,13,3046.21,4,4,4,12.0,Level 5-Lost Customers
14527.0,2.0,55,8508.82,4,4,4,12.0,Level 5-Lost Customers
14161.0,215.0,3,1110.52,1,3,3,7.0,Level 4-Almost Lost
17863.0,59.0,6,3160.0,2,4,4,10.0,Level 6-Lost Cheap Customers
16411.0,19.0,2,214.65,3,2,1,6.0,0.0
16402.0,264.0,2,299.6,1,2,1,4.0,0.0
15023.0,3.0,11,6802.76,4,4,4,12.0,Level 5-Lost Customers
17402.0,4.0,13,2633.85,4,4,4,12.0,Level 5-Lost Customers
15426.0,19.0,5,1447.39,3,3,3,9.0,Level 1-Best Customers
15894.0,253.0,2,263.55,1,2,1,4.0,0.0
15867.0,5.0,15,3812.64,4,4,4,12.0,Level 5-Lost Customers
14506.0,17.0,5,2012.17,4,3,4,11.0,Level 2-Loyal Customers
15555.0,12.0,16,4805.17,4,4,4,12.0,Level 5-Lost Customers
13034.0,54.0,2,642.77,2,2,2,6.0,0.0
15889.0,156.0,2,446.87,1,2,2,5.0,0.0
15953.0,15.0,8,1659.3799999999999,4,4,4,12.0,Level 5-Lost Customers
16143.0,3.0,6,2424.94,4,4,4,12.0,Level 5-Lost Customers
16422.0,17.0,51,34684.4,4,4,4,12.0,Level 5-Lost Customers
12747.0,2.0,11,4196.01,4,4,4,12.0,Level 5-Lost Customers
15502.0,15.0,12,10384.93,4,4,4,12.0,Level 5-Lost Customers
14081.0,302.0,2,934.52,1,2,3,6.0,0.0
17965.0,37.0,14,2622.57,3,4,4,11.0,Level 2-Loyal Customers
14404.0,33.0,6,1474.32,3,4,3,10.0,Level 6-Lost Cheap Customers
13579.0,14.0,2,467.04,4,2,2,8.0,Level 3-Big Spenders
13174.0,16.0,3,2817.03,4,3,4,11.0,Level 2-Loyal Customers
15987.0,12.0,7,1451.28,4,4,3,11.0,Level 2-Loyal Customers
17677.0,1.0,30,16363.23,4,4,4,12.0,Level 5-Lost Customers
13652.0,45.0,3,1095.08,3,3,3,9.0,Level 1-Best Customers
17428.0,0.0,28,17256.85,4,4,4,12.0,Level 5-Lost Customers
16858.0,368.0,1,375.69000000000005,1,1,2,4.0,0.0
16161.0,1.0,19,5575.56,4,4,4,12.0,Level 5-Lost Customers
18219.0,2.0,10,2069.77,4,4,4,12.0,Level 5-Lost Customers
14293.0,3.0,4,1046.56,4,3,3,10.0,Level 6-Lost Cheap Customers
14748.0,29.0,5,1415.75,3,3,3,9.0,Level 1-Best Customers
16638.0,22.0,10,1680.72,3,4,4,11.0,Level 2-Loyal Customers
17674.0,74.0,2,551.04,2,2,2,6.0,0.0
13094.0,21.0,12,1927.3200000000002,3,4,4,11.0,Level 2-Loyal Customers
15899.0,368.0,1,56.25,1,1,1,3.0,0.0
15898.0,1.0,5,1388.88,4,3,3,10.0,Level 6-Lost Cheap Customers
14443.0,53.0,4,1420.2,2,3,3,8.0,Level 3-Big Spenders
17691.0,358.0,2,290.40000000000003,1,2,1,4.0,0.0
17227.0,18.0,6,939.32,3,4,3,10.0,Level 6-Lost Cheap Customers
15039.0,9.0,47,19914.44,4,4,4,12.0,Level 5-Lost Customers
15919.0,19.0,2,639.89,3,2,2,7.0,Level 4-Almost Lost
13497.0,282.0,2,348.05,1,2,2,5.0,0.0
15860.0,40.0,8,977.21,3,4,3,10.0,Level 6-Lost Cheap Customers
14189.0,2.0,15,4654.08,4,4,4,12.0,Level 5-Lost Customers
15304.0,60.0,8,694.4000000000001,2,4,3,9.0,Level 1-Best Customers
14344.0,127.0,8,889.9300000000001,2,4,3,9.0,Level 1-Best Customers
16719.0,14.0,7,1790.42,4,4,4,12.0,Level 5-Lost Customers
15048.0,65.0,4,384.05,2,3,2,7.0,Level 4-Almost Lost
15301.0,50.0,12,5070.35,3,4,4,11.0,Level 2-Loyal Customers
14708.0,2.0,3,1126.37,4,3,3,10.0,Level 6-Lost Cheap Customers
16898.0,26.0,3,508.81,3,3,2,8.0,Level 3-Big Spenders
14825.0,3.0,12,2226.91,4,4,4,12.0,Level 5-Lost Customers
18113.0,368.0,1,76.32000000000001,1,1,1,3.0,0.0
17596.0,23.0,7,2827.93,3,4,4,11.0,Level 2-Loyal Customers
15078.0,7.0,32,9743.11,4,4,4,12.0,Level 5-Lost Customers
14085.0,2.0,18,4448.54,4,4,4,12.0,Level 5-Lost Customers
17860.0,368.0,1,252.8,1,1,1,3.0,0.0
13155.0,33.0,4,971.76,3,3,3,9.0,Level 1-Best Customers
15028.0,8.0,4,627.13,4,3,2,9.0,Level 1-Best Customers
16919.0,156.0,11,2596.45,1,4,4,9.0,Level 1-Best Customers
17259.0,148.0,2,603.37,1,2,2,5.0,0.0
17019.0,11.0,4,1272.61,4,3,3,10.0,Level 6-Lost Cheap Customers
16722.0,17.0,13,4730.81,4,4,4,12.0,Level 5-Lost Customers
15882.0,198.0,4,516.36,1,3,2,6.0,0.0
14667.0,10.0,25,9241.2,4,4,4,12.0,Level 5-Lost Customers
16710.0,19.0,10,2483.04,3,4,4,11.0,Level 2-Loyal Customers
15984.0,2.0,10,2837.67,4,4,4,12.0,Level 5-Lost Customers
14487.0,26.0,6,1196.33,3,4,3,10.0,Level 6-Lost Cheap Customers
17682.0,10.0,6,2474.33,4,4,4,12.0,Level 5-Lost Customers
16658.0,368.0,1,123.24,1,1,1,3.0,0.0
16550.0,108.0,5,2298.97,2,3,4,9.0,Level 1-Best Customers
17068.0,12.0,21,4552.14,4,4,4,12.0,Level 5-Lost Customers
15356.0,31.0,10,2766.5,3,4,4,11.0,Level 2-Loyal Customers
17223.0,310.0,2,426.79,1,2,2,5.0,0.0
16817.0,2.0,9,1604.75,4,4,4,12.0,Level 5-Lost Customers
13030.0,11.0,2,799.48,4,2,3,9.0,Level 1-Best Customers
17191.0,28.0,7,2095.13,3,4,4,11.0,Level 2-Loyal Customers
15194.0,3.0,15,7616.53,4,4,4,12.0,Level 5-Lost Customers
14409.0,71.0,6,2059.4500000000003,2,4,4,10.0,Level 6-Lost Cheap Customers
16654.0,141.0,4,601.27,2,3,2,7.0,Level 4-Almost Lost
13495.0,7.0,5,2044.8700000000001,4,3,4,11.0,Level 2-Loyal Customers
17519.0,17.0,6,1844.02,4,4,4,12.0,Level 5-Lost Customers
17218.0,4.0,10,1960.72,4,4,4,12.0,Level 5-Lost Customers
17812.0,12.0,4,732.16,4,3,3,10.0,Level 6-Lost Cheap Customers
14215.0,11.0,6,1789.72,4,4,4,12.0,Level 5-Lost Customers
15602.0,8.0,9,1297.8700000000001,4,4,3,11.0,Level 2-Loyal Customers
17320.0,100.0,3,1200.6200000000001,2,3,3,8.0,Level 3-Big Spenders
12913.0,4.0,5,2483.63,4,3,4,11.0,Level 2-Loyal Customers
17869.0,107.0,5,428.18,2,3,2,7.0,Level 4-Almost Lost
13564.0,144.0,3,1749.02,1,3,4,8.0,Level 3-Big Spenders
13963.0,308.0,4,664.54,1,3,3,7.0,Level 4-Almost Lost
17450.0,8.0,46,194550.79,4,4,4,12.0,Level 5-Lost Customers
17091.0,2.0,9,3827.76,4,4,4,12.0,Level 5-Lost Customers
17470.0,44.0,5,1125.07,3,3,3,9.0,Level 1-Best Customers
17616.0,173.0,3,571.1999999999999,1,3,2,6.0,0.0
15649.0,336.0,2,816.0,1,2,3,6.0,0.0
14907.0,3.0,7,3501.1,4,4,4,12.0,Level 5-Lost Customers
17735.0,2.0,19,13110.02,4,4,4,12.0,Level 5-Lost Customers
16059.0,65.0,6,1459.8600000000001,2,4,3,9.0,Level 1-Best Customers
17720.0,26.0,4,1195.94,3,3,3,9.0,Level 1-Best Customers
15018.0,38.0,3,496.21000000000004,3,3,2,8.0,Level 3-Big Spenders
15838.0,11.0,19,33643.08,4,4,4,12.0,Level 5-Lost Customers
14733.0,16.0,12,9585.91,4,4,4,12.0,Level 5-Lost Customers
13756.0,2.0,14,5189.52,4,4,4,12.0,Level 5-Lost Customers
14176.0,297.0,4,576.9000000000001,1,3,2,6.0,0.0
15353.0,254.0,2,777.02,1,2,3,6.0,0.0
18119.0,367.0,1,181.12,1,1,1,3.0,0.0
17491.0,1.0,10,3558.87,4,4,4,12.0,Level 5-Lost Customers
14282.0,3.0,15,3729.34,4,4,4,12.0,Level 5-Lost Customers
13569.0,17.0,2,373.75,4,2,2,8.0,Level 3-Big Spenders
14673.0,3.0,5,1736.4,4,3,4,11.0,Level 2-Loyal Customers
13488.0,17.0,13,8968.31,4,4,4,12.0,Level 5-Lost Customers
16221.0,36.0,3,864.86,3,3,3,9.0,Level 1-Best Customers
15002.0,115.0,4,1641.76,2,3,4,9.0,Level 1-Best Customers
15965.0,17.0,4,845.64,4,3,3,10.0,Level 6-Lost Cheap Customers
15024.0,9.0,10,1661.33,4,4,4,12.0,Level 5-Lost Customers
17675.0,1.0,31,20374.28,4,4,4,12.0,Level 5-Lost Customers
13769.0,2.0,10,2796.51,4,4,4,12.0,Level 5-Lost Customers
16904.0,4.0,16,3754.27,4,4,4,12.0,Level 5-Lost Customers
16086.0,59.0,5,1121.39,2,3,3,8.0,Level 3-Big Spenders
13786.0,367.0,1,230.39999999999998,1,1,1,3.0,0.0
13880.0,21.0,13,3219.77,3,4,4,11.0,Level 2-Loyal Customers
